Budget-Cleaned,Rating-Cleaned,Runtime-Cleaned,Num-of-Ratings-Cleaned,Gross-in-US-&-Canada-Cleaned,Gross-worldwide-Cleaned,Action,Adventure,Biography,Drama,Crime,Animation,Comedy,Family,Horror,Mystery,Thriller,History,Fantasy,Sci-Fi,Romance,Music,Sport,Musical,Documentary,War,Western,Film-Noir,Release-Year
6.0E7,7.5,112.0,455000.0,3.328169E7,5.1580946E7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0
3.50057874E7,5.9,109.0,3300.0,1788180.0,2611687.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
4.5E7,6.4,103.0,111000.0,5.0452282E7,8.7246866E7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
2.05E8,6.5,115.0,99857.5,4.68098964E7,8.71224586E7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
3.50057874E7,6.5,112.0,99857.5,4.68098964E7,8.71224586E7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
3.50057874E7,7.5,164.0,45000.0,4.68098964E7,6978436.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
2.8E7,7.5,97.0,208000.0,7.4515899E7,7.4534399E7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.0
1.5E7,7.6,93.0,156000.0,4.953028E7,4.953028E7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987.0
2.91E8,7.8,163.0,194000.0,1.72135383E8,5.67535383E8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
1.5E8,8.7,140.0,304000.0,3.81311319E8,6.90516673E8,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
3.50057874E7,5.5,90.0,1700.0,4.68098964E7,8.71224586E7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
3.3E7,7.1,97.0,294000.0,1.7805322E8,2.27356156E8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.0
3.50057874E7,6.0,93.0,2500.0,4.68098964E7,83767.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
1.8E7,7.7,103.0,620000.0,2.85761243E8,4.76684675E8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0
1000000.0,6.5,105.0,154000.0,1.1765309E7,1.4740889E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0
1.3E8,7.5,146.0,703000.0,4.24668047E8,8.65011746E8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0
3.50057874E7,8.5,141.0,3600.0,4.68098964E7,8.71224586E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
4.0E7,7.6,135.0,511000.0,5.9696144E7,2.48065238E8,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.0
